#episode,total_reward,max_reward,ending_time,planes_taken_off,planes_landed,planes_encountered,go_arounds,crashes,processed_planes,reward_efficiency
0,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
1,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
2,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
3,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
4,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
5,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
6,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
7,389.3,412.5,1714,5,5,10,0,0,1.0,0.9437575757575758
8,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
9,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
10,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
11,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
12,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
13,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
14,358.1,362.5,1338,7,3,10,0,0,1.0,0.9878620689655173
15,436.5,462.5,1770,3,7,10,0,0,1.0,0.9437837837837838
16,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
17,245.5,387.5,1390,5,3,10,0,2,0.8,0.6335483870967742
18,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
19,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
20,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
21,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
22,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
23,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
24,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
25,367.95,362.5,1141,7,3,10,0,0,1.0,1.0150344827586206
26,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
27,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
28,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
29,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
0,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
1,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
2,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
3,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
4,245.5,387.5,1390,5,3,10,0,2,0.8,0.6335483870967742
5,364.05,362.5,1219,7,3,10,0,0,1.0,1.0042758620689656
6,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
7,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
8,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
9,358.1,362.5,1338,7,3,10,0,0,1.0,0.9878620689655173
10,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
11,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
12,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
13,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
14,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
15,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
16,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
17,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
18,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
19,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
20,389.3,412.5,1714,5,5,10,0,0,1.0,0.9437575757575758
21,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
22,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
23,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
24,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
25,456.0,487.5,1880,2,8,10,0,0,1.0,0.9353846153846154
26,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
27,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
28,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
29,413.35,412.5,1233,5,5,10,0,0,1.0,1.002060606060606
0,257.35,387.5,1153,5,3,10,0,2,0.8,0.6641290322580645
1,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
2,364.05,362.5,1219,7,3,10,0,0,1.0,1.0042758620689656
3,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
4,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
5,314.2,362.5,1216,7,2,10,0,0,0.9,0.8667586206896551
6,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
7,394.7,412.5,1606,5,5,10,0,0,1.0,0.9568484848484848
8,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
9,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
10,312.45,462.5,1551,2,6,10,0,2,0.8,0.6755675675675675
11,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
12,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
13,245.55,412.5,1889,4,4,10,0,2,0.8,0.5952727272727273
14,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
15,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
16,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
17,386.7,387.5,1266,6,4,10,0,0,1.0,0.9979354838709678
18,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
19,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
20,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
21,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
22,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
23,337.0,337.5,1260,8,2,10,0,0,1.0,0.9985185185185185
24,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
25,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
26,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
27,407.65,412.5,1347,5,5,10,0,0,1.0,0.9882424242424241
28,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
29,364.05,362.5,1219,7,3,10,0,0,1.0,1.0042758620689656
0,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
1,337.0,337.5,1260,8,2,10,0,0,1.0,0.9985185185185185
2,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
3,394.7,412.5,1606,5,5,10,0,0,1.0,0.9568484848484848
4,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
5,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
6,389.3,412.5,1714,5,5,10,0,0,1.0,0.9437575757575758
7,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
8,433.45,462.5,1831,3,7,10,0,0,1.0,0.9371891891891891
9,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
10,314.2,362.5,1216,7,2,10,0,0,0.9,0.8667586206896551
11,293.55,337.5,1129,8,1,10,0,0,0.9,0.8697777777777778
12,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
13,337.0,337.5,1260,8,2,10,0,0,1.0,0.9985185185185185
14,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
15,413.35,412.5,1233,5,5,10,0,0,1.0,1.002060606060606
16,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
17,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
18,407.65,412.5,1347,5,5,10,0,0,1.0,0.9882424242424241
19,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
20,413.35,412.5,1233,5,5,10,0,0,1.0,1.002060606060606
21,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
22,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
23,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
24,245.5,387.5,1390,5,3,10,0,2,0.8,0.6335483870967742
25,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
26,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
27,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
28,393.75,412.5,1625,5,5,10,0,0,1.0,0.9545454545454546
29,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
0,358.1,362.5,1338,7,3,10,0,0,1.0,0.9878620689655173
1,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
2,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
3,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
4,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
5,257.35,387.5,1153,5,3,10,0,2,0.8,0.6641290322580645
6,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
7,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
8,245.5,387.5,1390,5,3,10,0,2,0.8,0.6335483870967742
9,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
10,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
11,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
12,314.2,362.5,1216,7,2,10,0,0,0.9,0.8667586206896551
13,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
14,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
15,393.75,412.5,1625,5,5,10,0,0,1.0,0.9545454545454546
16,500.15,512.5,1497,1,9,10,0,0,1.0,0.9759024390243902
17,367.95,362.5,1141,7,3,10,0,0,1.0,1.0150344827586206
18,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
19,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
20,407.65,412.5,1347,5,5,10,0,0,1.0,0.9882424242424241
21,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
22,358.0,362.5,1340,7,3,10,0,0,1.0,0.9875862068965517
23,314.2,362.5,1216,7,2,10,0,0,0.9,0.8667586206896551
24,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
25,394.7,412.5,1606,5,5,10,0,0,1.0,0.9568484848484848
26,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
27,433.45,462.5,1831,3,7,10,0,0,1.0,0.9371891891891891
28,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
29,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
0,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
1,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
2,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
3,413.35,412.5,1233,5,5,10,0,0,1.0,1.002060606060606
4,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
5,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
6,378.0,387.5,1440,6,4,10,0,0,1.0,0.9754838709677419
7,394.7,412.5,1606,5,5,10,0,0,1.0,0.9568484848484848
8,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
9,342.05,362.5,1659,7,3,10,0,0,1.0,0.9435862068965517
10,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
11,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
12,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
13,456.0,487.5,1880,2,8,10,0,0,1.0,0.9353846153846154
14,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
15,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
16,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
17,245.55,412.5,1889,4,4,10,0,2,0.8,0.5952727272727273
18,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
19,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
20,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
21,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
22,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
23,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
24,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
25,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
26,459.35,487.5,1813,2,8,10,0,0,1.0,0.9422564102564103
27,246.3,412.5,1874,4,4,10,0,2,0.8,0.5970909090909091
28,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
29,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
0,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
1,367.95,362.5,1141,7,3,10,0,0,1.0,1.0150344827586206
2,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
3,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
4,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
5,500.15,512.5,1497,1,9,10,0,0,1.0,0.9759024390243902
6,358.0,362.5,1340,7,3,10,0,0,1.0,0.9875862068965517
7,257.35,387.5,1153,5,3,10,0,2,0.8,0.6641290322580645
8,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
9,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
10,393.75,412.5,1625,5,5,10,0,0,1.0,0.9545454545454546
11,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
12,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
13,245.55,412.5,1889,4,4,10,0,2,0.8,0.5952727272727273
14,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
15,436.5,462.5,1770,3,7,10,0,0,1.0,0.9437837837837838
16,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
17,393.75,412.5,1625,5,5,10,0,0,1.0,0.9545454545454546
18,433.45,462.5,1831,3,7,10,0,0,1.0,0.9371891891891891
19,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
20,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
21,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
22,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
23,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
24,358.0,362.5,1340,7,3,10,0,0,1.0,0.9875862068965517
25,293.55,337.5,1129,8,1,10,0,0,0.9,0.8697777777777778
26,312.45,462.5,1551,2,6,10,0,2,0.8,0.6755675675675675
27,358.1,362.5,1338,7,3,10,0,0,1.0,0.9878620689655173
28,245.55,412.5,1889,4,4,10,0,2,0.8,0.5952727272727273
29,257.35,387.5,1153,5,3,10,0,2,0.8,0.6641290322580645
0,438.0,512.5,1740,1,8,10,0,0,0.9,0.8546341463414634
1,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
2,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
3,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
4,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
5,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
6,332.6,462.5,1148,2,6,10,0,2,0.8,0.7191351351351352
7,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
8,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
9,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
10,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
11,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
12,421.55,437.5,1569,4,6,10,0,0,1.0,0.9635428571428571
13,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
14,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
15,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
16,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
17,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
18,312.45,462.5,1551,2,6,10,0,2,0.8,0.6755675675675675
19,358.0,362.5,1340,7,3,10,0,0,1.0,0.9875862068965517
20,459.35,487.5,1813,2,8,10,0,0,1.0,0.9422564102564103
21,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
22,332.6,462.5,1148,2,6,10,0,2,0.8,0.7191351351351352
23,459.35,487.5,1813,2,8,10,0,0,1.0,0.9422564102564103
24,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
25,293.55,337.5,1129,8,1,10,0,0,0.9,0.8697777777777778
26,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
27,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
28,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
29,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
0,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
1,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
2,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
3,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
4,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
5,459.35,487.5,1813,2,8,10,0,0,1.0,0.9422564102564103
6,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
7,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
8,364.05,362.5,1219,7,3,10,0,0,1.0,1.0042758620689656
9,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
10,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
11,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
12,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
13,459.35,487.5,1813,2,8,10,0,0,1.0,0.9422564102564103
14,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
15,342.05,362.5,1659,7,3,10,0,0,1.0,0.9435862068965517
16,389.3,412.5,1714,5,5,10,0,0,1.0,0.9437575757575758
17,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
18,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
19,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
20,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
21,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
22,433.45,462.5,1831,3,7,10,0,0,1.0,0.9371891891891891
23,393.75,412.5,1625,5,5,10,0,0,1.0,0.9545454545454546
24,337.0,337.5,1260,8,2,10,0,0,1.0,0.9985185185185185
25,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
26,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
27,200.0,337.5,2000,6,1,10,0,0,0.7,0.5925925925925926
28,350.0,412.5,2000,4,5,10,0,0,0.9,0.8484848484848485
29,300.0,362.5,2000,6,3,10,0,0,0.9,0.8275862068965517
0,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
1,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
2,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
3,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
4,337.0,337.5,1260,8,2,10,0,0,1.0,0.9985185185185185
5,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
6,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
7,358.0,362.5,1340,7,3,10,0,0,1.0,0.9875862068965517
8,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
9,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
10,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
11,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
12,459.35,487.5,1813,2,8,10,0,0,1.0,0.9422564102564103
13,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
14,393.75,412.5,1625,5,5,10,0,0,1.0,0.9545454545454546
15,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
16,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
17,257.35,387.5,1153,5,3,10,0,2,0.8,0.6641290322580645
18,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
19,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
20,456.0,487.5,1880,2,8,10,0,0,1.0,0.9353846153846154
21,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
22,342.05,362.5,1659,7,3,10,0,0,1.0,0.9435862068965517
23,312.45,462.5,1551,2,6,10,0,2,0.8,0.6755675675675675
24,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
25,344.8,362.5,1604,7,3,10,0,0,1.0,0.9511724137931035
26,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
27,312.1,437.5,1058,3,5,10,0,2,0.8,0.7133714285714287
28,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
29,312.45,462.5,1551,2,6,10,0,2,0.8,0.6755675675675675
