# episode,total_reward,max_reward,ending_time,planes_taken_off,planes_landed,planes_encountered,go_arounds,crashes,processed_planes,reward_efficiency
0,279.45,387.5,1411,6,2,10,1,0,0.8,0.7211612903225806
1,277.15,412.5,1257,4,4,10,1,2,0.8,0.6718787878787879
2,278.6,437.5,1428,4,3,10,1,0,0.7,0.6368
3,250.65,462.5,1487,3,3,10,3,0,0.6,0.5419459459459459
4,235.35,437.5,1293,4,2,10,3,0,0.6,0.5379428571428572
5,357.05,437.5,1159,3,6,10,0,2,0.9,0.8161142857142858
6,188.9,437.5,1522,3,3,10,2,2,0.6,0.4317714285714286
7,244.14999999999998,437.5,1417,3,4,10,0,2,0.7,0.5580571428571428
8,389.4,437.5,1212,4,5,10,1,0,0.9,0.8900571428571428
9,388.6,437.5,1228,4,5,10,1,0,0.9,0.8882285714285715
10,353.35,462.5,1433,3,5,10,0,0,0.8,0.764
11,317.45,437.5,1651,4,4,10,2,0,0.8,0.7256
12,442.75,437.5,1145,4,6,10,0,0,1.0,1.012
13,410.75,412.5,1285,5,5,10,0,0,1.0,0.9957575757575757
14,229.6,437.5,1408,4,2,10,2,0,0.6,0.5247999999999999
15,330.6,412.5,1188,4,5,10,0,2,0.9,0.8014545454545455
16,272.9,412.5,1342,4,4,10,0,2,0.8,0.6615757575757575
17,328.35,437.5,1433,4,4,10,0,0,0.8,0.7505142857142858
18,260.5,412.5,1290,5,2,10,2,0,0.7,0.6315151515151515
19,236.4,437.5,1272,4,2,10,3,0,0.6,0.5403428571428571
20,253.15,412.5,1437,5,2,10,1,0,0.7,0.6136969696969697
21,261.1,412.5,1278,5,2,10,2,0,0.7,0.6329696969696971
22,289.25,387.5,1215,6,2,10,1,0,0.8,0.7464516129032258
23,258.6,412.5,1328,5,2,10,1,0,0.7,0.626909090909091
24,279.75,387.5,1405,6,2,10,0,0,0.8,0.7219354838709677
25,207.7,412.5,1346,5,1,10,0,0,0.6,0.5035151515151515
26,241.95,387.5,1161,6,1,10,1,0,0.7,0.6243870967741936
27,106.4,387.5,1172,5,0,10,2,2,0.5,0.2745806451612903
28,250.7,387.5,986,6,1,10,1,0,0.7,0.6469677419354838
29,149.75,387.5,1105,5,2,10,0,4,0.7,0.3864516129032258
30,154.85,412.5,1203,5,1,10,0,2,0.6,0.3753939393939394
31,318.55,412.5,1129,5,3,10,0,0,0.8,0.7722424242424243
32,332.6,437.5,1348,4,4,10,1,0,0.8,0.7602285714285715
33,259.75,412.5,1305,5,2,10,2,0,0.7,0.6296969696969696
34,281.65,437.5,1367,4,3,10,1,0,0.7,0.6437714285714286
35,209.1,412.5,1318,5,1,10,2,0,0.6,0.5069090909090909
36,284.65,437.5,1307,4,3,10,3,0,0.7,0.6506285714285713
37,331.1,437.5,1378,4,4,10,0,0,0.8,0.7568
38,360.75,462.5,1285,3,5,10,2,0,0.8,0.78
39,213.55,462.5,1229,3,2,10,3,0,0.5,0.46172972972972975
40,288.85,437.5,1223,4,3,10,3,0,0.7,0.6602285714285715
41,335.7,437.5,1286,4,4,10,2,0,0.8,0.7673142857142857
42,391.7,437.5,1166,4,5,10,1,0,0.9,0.8953142857142857
43,334.05,437.5,1319,4,4,10,0,0,0.8,0.7635428571428572
44,307.95,412.5,1341,5,3,10,2,0,0.8,0.7465454545454545
0,234.25,437.5,1315,4,2,10,4,0,0.6,0.5354285714285715
1,302.6,437.5,948,4,3,10,3,0,0.7,0.6916571428571429
2,190.4,437.5,1192,4,1,10,2,0,0.5,0.43520000000000003
3,291.75,437.5,1165,4,3,10,2,0,0.7,0.6668571428571428
4,254.95,462.5,1401,3,3,10,3,0,0.6,0.5512432432432433
5,358.3,462.5,1334,3,5,10,0,0,0.8,0.7747027027027027
6,408.9,462.5,1322,3,6,10,1,0,0.9,0.884108108108108
7,357.85,462.5,1343,3,5,10,0,0,0.8,0.7737297297297298
8,335.6,462.5,1088,2,6,10,0,2,0.8,0.7256216216216217
9,171.75,462.5,1365,2,3,10,0,2,0.5,0.37135135135135133
10,288.25,437.5,1235,4,3,10,1,0,0.7,0.6588571428571428
11,273.45,412.5,1331,4,4,10,0,2,0.8,0.6629090909090909
12,240.75,437.5,1185,4,2,10,4,0,0.6,0.5502857142857143
13,44.3,437.5,1414,3,0,10,0,2,0.3,0.10125714285714285
14,338.85,437.5,1223,4,4,10,2,0,0.8,0.7745142857142858
15,260.65,437.5,1087,3,4,10,0,2,0.7,0.5957714285714285
16,301.5,437.5,1270,3,5,10,0,2,0.8,0.6891428571428572
17,295.05,437.5,1399,3,5,10,0,2,0.8,0.6744
18,299.8,437.5,1304,3,5,10,0,2,0.8,0.6852571428571429
19,162.4,437.5,1552,4,2,10,2,2,0.6,0.37120000000000003
20,293.6,437.5,1428,3,5,10,0,2,0.8,0.6710857142857143
21,292.7,437.5,1446,3,5,10,0,2,0.8,0.6690285714285714
22,298.2,437.5,1336,3,5,10,0,2,0.8,0.6816
23,410.95,412.5,1281,5,5,10,0,0,1.0,0.9962424242424243
24,252.2,412.5,1456,5,2,10,2,0,0.7,0.6113939393939394
25,361.05,412.5,1279,5,4,10,0,0,0.9,0.8752727272727273