time,icao,operation,airport,registration,flight,ac_type,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
2025-03-01 00:51:13,ad8901,takeoff,KRAP,N971SW,SKW5265,CRJ2,32,https://globe.adsbexchange.com/?icao=ad8901&zoom=13.5&showTrace=2025-03-01&timestamp=1740790273,5124.0,adsb_icao,A2,2004.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 00:56:18,ae5ae9,takeoff,KRAP,15-20775,1520775,H60,,https://globe.adsbexchange.com/?icao=ae5ae9&zoom=13.5&showTrace=2025-03-01&timestamp=1740790578,1200.0,adsb_icao,A7,,,Sikorsky HH-60M Black Hawk,,f,f,H2T,t,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:04:10,a5045e,takeoff,KRAP,N422PM,N422PM,BE9L,5,https://globe.adsbexchange.com/?icao=a5045e&zoom=13.5&showTrace=2025-03-01&timestamp=1740791050,5117.0,adsb_icao,A1,1995.0,BEECH,C90,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:06:40,ae56c5,takeoff,KRAP,13-20605,1320605,H60,,https://globe.adsbexchange.com/?icao=ae56c5&zoom=13.5&showTrace=2025-03-01&timestamp=1740791200,1200.0,adsb_icao,A7,,,Sikorsky HH-60M Black Hawk,,f,f,H2T,t,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:13:48,ab2b5e,takeoff,KRAP,N819FX,CFS7584,AT73,32,https://globe.adsbexchange.com/?icao=ab2b5e&zoom=13.5&showTrace=2025-03-01&timestamp=1740791628,1447.0,adsb_icao,A2,1993.0,AEROSPATIALE,ATR 72-212,FEDERAL EXPRESS CORP,f,f,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:36:14,a08383,takeoff,KRAP,N132KC,AIP1587,B190,32,https://globe.adsbexchange.com/?icao=a08383&zoom=13.5&showTrace=2025-03-01&timestamp=1740792974,1436.0,adsb_icao,A2,1995.0,BEECH,1900D,ALPINE AVIATION INC,f,f,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:49:46,a7e318,landing,KRAP,N607UX,SKW5580,E75L,32,https://globe.adsbexchange.com/?icao=a7e318&zoom=13.5&showTrace=2025-03-01&timestamp=1740793786,5121.0,adsb_icao,A3,2019.0,EMBRAER S A,ERJ 170-200 LL,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:51:31,abb63f,takeoff,KRAP,N854AL,N854AL,PC12,32,https://globe.adsbexchange.com/?icao=abb63f&zoom=13.5&showTrace=2025-03-01&timestamp=1740793891,5145.0,adsb_icao,A1,2001.0,PILATUS,PC-12/45,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 01:58:28,a63980,landing,KRAP,N50VP,N50VP,BE9L,32,https://globe.adsbexchange.com/?icao=a63980&zoom=13.5&showTrace=2025-03-01&timestamp=1740794308,5113.0,adsb_icao,A1,1988.0,BEECH,C90A,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 02:07:18,a300ab,takeoff,KRAP,N293AM,N293AM,B407,,https://globe.adsbexchange.com/?icao=a300ab&zoom=13.5&showTrace=2025-03-01&timestamp=1740794838,1200.0,adsb_icao,A7,2015.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 03:12:30,ad572a,landing,KRAP,N959MA,N959MA,PC12,32,https://globe.adsbexchange.com/?icao=ad572a&zoom=13.5&showTrace=2025-03-01&timestamp=1740798750,5171.0,adsb_icao,A1,2005.0,PILATUS AIRCRAFT LTD,PC-12/47,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 03:18:24,a3094d,landing,KRAP,N295NV,AAY2358,A320,32,https://globe.adsbexchange.com/?icao=a3094d&zoom=13.5&showTrace=2025-03-01&timestamp=1740799104,1516.0,adsb_icao,A3,,AIRBUS,A320-214,BANK OF UTAH TRUSTEE,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 03:21:33,a19aaa,landing,KRAP,N202NN,ENY3567,E75L,32,https://globe.adsbexchange.com/?icao=a19aaa&zoom=13.5&showTrace=2025-03-01&timestamp=1740799293,3420.0,adsb_icao,A3,2015.0,EMBRAER S A,ERJ 170-200 LR,AMERICAN AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 03:39:56,a56661,landing,KRAP,N447UA,UAL514,A320,32,https://globe.adsbexchange.com/?icao=a56661&zoom=13.5&showTrace=2025-03-01&timestamp=1740800396,5121.0,adsb_icao,A3,1998.0,AIRBUS INDUSTRIE,A320-232,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 03:59:12,a37a25,takeoff,KRAP,N323HA,N323HA,BE9L,14,https://globe.adsbexchange.com/?icao=a37a25&zoom=13.5&showTrace=2025-03-01&timestamp=1740801552,5110.0,adsb_icao,A1,1979.0,BEECH,E-90,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 04:16:39,a3094d,takeoff,KRAP,N295NV,AAY758,A320,32,https://globe.adsbexchange.com/?icao=a3094d&zoom=13.5&showTrace=2025-03-01&timestamp=1740802599,3520.0,adsb_icao,A3,,AIRBUS,A320-214,BANK OF UTAH TRUSTEE,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 04:42:31,a300ab,landing,KRAP,N293AM,N293AM,B407,,https://globe.adsbexchange.com/?icao=a300ab&zoom=13.5&showTrace=2025-03-01&timestamp=1740804151,1200.0,adsb_icao,A7,2015.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 04:58:23,acf146,landing,KRAP,N933EV,SKW5303,CRJ2,32,https://globe.adsbexchange.com/?icao=acf146&zoom=13.5&showTrace=2025-03-01&timestamp=1740805103,5144.0,adsb_icao,A2,2005.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 05:12:07,a7cfb7,landing,KRAP,N602LR,EDV4837,CRJ9,32,https://globe.adsbexchange.com/?icao=a7cfb7&zoom=13.5&showTrace=2025-03-01&timestamp=1740805927,1200.0,adsb_icao,A3,2008.0,BOMBARDIER INC,CL-600-2D24,DELTA AIR LINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 05:30:53,a5045e,landing,KRAP,N422PM,N422PM,BE9L,,https://globe.adsbexchange.com/?icao=a5045e&zoom=13.5&showTrace=2025-03-01&timestamp=1740807053,1200.0,adsb_icao,A1,1995.0,BEECH,C90,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 07:28:11,abb63f,landing,KRAP,N854AL,N854AL,PC12,32,https://globe.adsbexchange.com/?icao=abb63f&zoom=13.5&showTrace=2025-03-01&timestamp=1740814091,1200.0,adsb_icao,A1,2001.0,PILATUS,PC-12/45,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 09:32:59,acaa61,landing,KRAP,N915MR,N915MR,BE9L,14,https://globe.adsbexchange.com/?icao=acaa61&zoom=13.5&showTrace=2025-03-01&timestamp=1740821579,5122.0,adsb_icao,A1,2001.0,RAYTHEON AIRCRAFT COMPANY,C90A,GUARDIAN FLIGHT LLC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 10:49:06,acaa61,takeoff,KRAP,N915MR,N915MR,BE9L,14,https://globe.adsbexchange.com/?icao=acaa61&zoom=13.5&showTrace=2025-03-01&timestamp=1740826146,1200.0,adsb_icao,A1,2001.0,RAYTHEON AIRCRAFT COMPANY,C90A,GUARDIAN FLIGHT LLC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 12:02:32,a5045e,takeoff,KRAP,N422PM,N422PM,BE9L,5,https://globe.adsbexchange.com/?icao=a5045e&zoom=13.5&showTrace=2025-03-01&timestamp=1740830552,1200.0,adsb_icao,A1,1995.0,BEECH,C90,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 12:17:32,ace28c,takeoff,KRAP,N9294Q,N9294Q,P28A,32,https://globe.adsbexchange.com/?icao=ace28c&zoom=13.5&showTrace=2025-03-01&timestamp=1740831452,1200.0,adsb_icao,A1,1998.0,PIPER,PA-28-181,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 12:31:59,a19aaa,takeoff,KRAP,N202NN,ENY3445,E75L,14,https://globe.adsbexchange.com/?icao=a19aaa&zoom=13.5&showTrace=2025-03-01&timestamp=1740832319,3205.0,adsb_icao,A3,2015.0,EMBRAER S A,ERJ 170-200 LR,AMERICAN AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 12:59:08,a047cb,takeoff,KRAP,N117SG,N117SG,CH7B,14,https://globe.adsbexchange.com/?icao=a047cb&zoom=13.5&showTrace=2025-03-01&timestamp=1740833948,1200.0,adsr_icao,A1,2004.0,AMERICAN CHAMPION AIRCRAFT,7GCBC,COLE-TAC LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 12:59:32,a047cb,landing,KRAP,N117SG,N117SG,CH7B,,https://globe.adsbexchange.com/?icao=a047cb&zoom=13.5&showTrace=2025-03-01&timestamp=1740833972,1200.0,adsr_icao,A1,2004.0,AMERICAN CHAMPION AIRCRAFT,7GCBC,COLE-TAC LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 13:25:50,a7cfb7,takeoff,KRAP,N602LR,EDV4955,CRJ9,14,https://globe.adsbexchange.com/?icao=a7cfb7&zoom=13.5&showTrace=2025-03-01&timestamp=1740835550,1427.0,adsb_icao,A3,2008.0,BOMBARDIER INC,CL-600-2D24,DELTA AIR LINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 13:32:23,a5045e,landing,KRAP,N422PM,N422PM,BE9L,32,https://globe.adsbexchange.com/?icao=a5045e&zoom=13.5&showTrace=2025-03-01&timestamp=1740835943,5175.0,adsb_icao,A1,1995.0,BEECH,C90,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 13:52:01,ace28c,landing,KRAP,N9294Q,N9294Q,P28A,14,https://globe.adsbexchange.com/?icao=ace28c&zoom=13.5&showTrace=2025-03-01&timestamp=1740837121,241.0,adsb_icao,A1,1998.0,PIPER,PA-28-181,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 14:30:39,a7e318,takeoff,KRAP,N607UX,SKW5884,E75L,14,https://globe.adsbexchange.com/?icao=a7e318&zoom=13.5&showTrace=2025-03-01&timestamp=1740839439,5106.0,adsb_icao,A3,2019.0,EMBRAER S A,ERJ 170-200 LL,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 14:39:28,ace28c,takeoff,KRAP,N9294Q,N9294Q,P28A,14,https://globe.adsbexchange.com/?icao=ace28c&zoom=13.5&showTrace=2025-03-01&timestamp=1740839968,1200.0,adsb_icao,A1,1998.0,PIPER,PA-28-181,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 14:47:01,ab2b5e,landing,KRAP,N819FX,CFS8584,AT73,14,https://globe.adsbexchange.com/?icao=ab2b5e&zoom=13.5&showTrace=2025-03-01&timestamp=1740840421,2456.0,adsb_icao,A2,1993.0,AEROSPATIALE,ATR 72-212,FEDERAL EXPRESS CORP,f,f,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:03:47,a52d87,takeoff,KRAP,N4324Y,N4324Y,PA34,14,https://globe.adsbexchange.com/?icao=a52d87&zoom=13.5&showTrace=2025-03-01&timestamp=1740841427,1200.0,adsb_icao,A1,1983.0,PIPER,PA-34-220T,LIMA WHISKEY LLC,f,f,L2P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:10:28,a27220,landing,KRAP,N257GL,AIP1044,B190,14,https://globe.adsbexchange.com/?icao=a27220&zoom=13.5&showTrace=2025-03-01&timestamp=1740841828,2473.0,adsb_icao,A2,1996.0,RAYTHEON AIRCRAFT COMPANY,1900D,ALPINE AVIATION INC,f,f,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:13:24,a52d87,landing,KRAP,N4324Y,N4324Y,PA34,,https://globe.adsbexchange.com/?icao=a52d87&zoom=13.5&showTrace=2025-03-01&timestamp=1740842004,1200.0,adsb_icao,A1,1983.0,PIPER,PA-34-220T,LIMA WHISKEY LLC,f,f,L2P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:14:00,a57228,landing,KRAP,N450AM,N450AM,B407,,https://globe.adsbexchange.com/?icao=a57228&zoom=13.5&showTrace=2025-03-01&timestamp=1740842040,1200.0,adsb_icao,A7,2013.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:18:12,a52d87,takeoff,KRAP,N4324Y,N4324Y,PA34,14,https://globe.adsbexchange.com/?icao=a52d87&zoom=13.5&showTrace=2025-03-01&timestamp=1740842292,1200.0,adsb_icao,A1,1983.0,PIPER,PA-34-220T,LIMA WHISKEY LLC,f,f,L2P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:24:21,a52d87,landing,KRAP,N4324Y,N4324Y,PA34,14,https://globe.adsbexchange.com/?icao=a52d87&zoom=13.5&showTrace=2025-03-01&timestamp=1740842661,1200.0,adsb_icao,A1,1983.0,PIPER,PA-34-220T,LIMA WHISKEY LLC,f,f,L2P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:26:43,a57228,takeoff,KRAP,N450AM,N450AM,B407,,https://globe.adsbexchange.com/?icao=a57228&zoom=13.5&showTrace=2025-03-01&timestamp=1740842803,1200.0,adsb_icao,A7,2013.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:27:23,a1d6aa,takeoff,KRAP,N21757,N21757,C172,14,https://globe.adsbexchange.com/?icao=a1d6aa&zoom=13.5&showTrace=2025-03-01&timestamp=1740842843,1200.0,adsb_icao,A1,1974.0,CESSNA,172M,"OLSON TERRY L, OLSON CONNIE C",f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:28:31,a52d87,takeoff,KRAP,N4324Y,N4324Y,PA34,14,https://globe.adsbexchange.com/?icao=a52d87&zoom=13.5&showTrace=2025-03-01&timestamp=1740842911,1200.0,adsb_icao,A1,1983.0,PIPER,PA-34-220T,LIMA WHISKEY LLC,f,f,L2P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:34:17,a52d87,landing,KRAP,N4324Y,N4324Y,PA34,14,https://globe.adsbexchange.com/?icao=a52d87&zoom=13.5&showTrace=2025-03-01&timestamp=1740843257,1200.0,adsb_icao,A1,1983.0,PIPER,PA-34-220T,LIMA WHISKEY LLC,f,f,L2P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:39:09,a0136d,landing,KRAP,N1039A,N1039A,BE35,14,https://globe.adsbexchange.com/?icao=a0136d&zoom=13.5&showTrace=2025-03-01&timestamp=1740843549,3611.0,adsb_icao,A1,1969.0,BEECH,V35A,39A LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:47:34,a56661,takeoff,KRAP,N447UA,UAL2307,A320,14,https://globe.adsbexchange.com/?icao=a56661&zoom=13.5&showTrace=2025-03-01&timestamp=1740844054,5111.0,adsb_icao,A3,1998.0,AIRBUS INDUSTRIE,A320-232,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:49:44,ace28c,landing,KRAP,N9294Q,N9294Q,P28A,,https://globe.adsbexchange.com/?icao=ace28c&zoom=13.5&showTrace=2025-03-01&timestamp=1740844184,,adsb_icao,A1,1998.0,PIPER,PA-28-181,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:51:13,ad572a,takeoff,KRAP,N959MA,N959MA,PC12,14,https://globe.adsbexchange.com/?icao=ad572a&zoom=13.5&showTrace=2025-03-01&timestamp=1740844273,1200.0,adsb_icao,A1,2005.0,PILATUS AIRCRAFT LTD,PC-12/47,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 15:59:47,a48480,takeoff,KRAP,N390TP,N390TP,E50P,14,https://globe.adsbexchange.com/?icao=a48480&zoom=13.5&showTrace=2025-03-01&timestamp=1740844787,1465.0,adsb_icao,A1,2009.0,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,GATEWAY AUTOPLEX LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:09:38,ad572a,landing,KRAP,N959MA,N959MA,PC12,14,https://globe.adsbexchange.com/?icao=ad572a&zoom=13.5&showTrace=2025-03-01&timestamp=1740845378,1200.0,adsb_icao,A1,2005.0,PILATUS AIRCRAFT LTD,PC-12/47,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:26:21,ace28c,takeoff,KRAP,N9294Q,N9294Q,P28A,14,https://globe.adsbexchange.com/?icao=ace28c&zoom=13.5&showTrace=2025-03-01&timestamp=1740846381,1200.0,adsb_icao,A1,1998.0,PIPER,PA-28-181,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:35:34,a1ad44,landing,KRAP,N207NV,AAY1206,A320,14,https://globe.adsbexchange.com/?icao=a1ad44&zoom=13.5&showTrace=2025-03-01&timestamp=1740846934,7333.0,adsb_icao,A3,2013.0,AIRBUS,A320-214,ALLEGIANT AIR LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:36:53,a72278,takeoff,KRAP,N559SP,N559SP,C172,14,https://globe.adsbexchange.com/?icao=a72278&zoom=13.5&showTrace=2025-03-01&timestamp=1740847013,1200.0,adsb_icao,A1,2000.0,CESSNA,172S,1.2 GPA LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:39:29,a19ea5,takeoff,KRAP,N203RF,N203RF,SR22,14,https://globe.adsbexchange.com/?icao=a19ea5&zoom=13.5&showTrace=2025-03-01&timestamp=1740847169,1200.0,adsb_icao,A1,2003.0,CIRRUS DESIGN CORP,SR22,RAPID FLYERS LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:41:03,a56433,takeoff,KRAP,N44669,N44669,P28A,14,https://globe.adsbexchange.com/?icao=a56433&zoom=13.5&showTrace=2025-03-01&timestamp=1740847263,1200.0,adsb_icao,A1,1974.0,PIPER,PA-28-151,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:42:06,a2ddfa,landing,KRAP,N284MR,N284MR,BE9L,14,https://globe.adsbexchange.com/?icao=a2ddfa&zoom=13.5&showTrace=2025-03-01&timestamp=1740847326,2357.0,adsb_icao,A1,2005.0,RAYTHEON AIRCRAFT COMPANY,C90A,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:43:10,a5045e,takeoff,KRAP,N422PM,N422PM,BE9L,,https://globe.adsbexchange.com/?icao=a5045e&zoom=13.5&showTrace=2025-03-01&timestamp=1740847390,5130.0,adsb_icao,A1,1995.0,BEECH,C90,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:46:50,a274db,takeoff,KRAP,N2577Q,N2577Q,C185,14,https://globe.adsbexchange.com/?icao=a274db&zoom=13.5&showTrace=2025-03-01&timestamp=1740847610,1200.0,adsb_icao,A1,1977.0,CESSNA,A185F,SLINGSBY J GEOFFREY,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:50:33,acaad6,landing,KRAP,N915SH,N915SH,BE20,14,https://globe.adsbexchange.com/?icao=acaad6&zoom=13.5&showTrace=2025-03-01&timestamp=1740847833,2454.0,adsb_icao,A1,2014.0,BEECHCRAFT,200 Super King Air,SANFORD MEDICAL CENTER,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 16:59:38,a72278,landing,KRAP,N559SP,N559SP,C172,14,https://globe.adsbexchange.com/?icao=a72278&zoom=13.5&showTrace=2025-03-01&timestamp=1740848378,1200.0,adsb_icao,A1,2000.0,CESSNA,172S,1.2 GPA LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 17:08:03,a274db,landing,KRAP,N2577Q,N2577Q,C185,14,https://globe.adsbexchange.com/?icao=a274db&zoom=13.5&showTrace=2025-03-01&timestamp=1740848883,1200.0,adsb_icao,A1,1977.0,CESSNA,A185F,SLINGSBY J GEOFFREY,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 17:25:41,a63980,takeoff,KRAP,N50VP,N50VP,BE9L,14,https://globe.adsbexchange.com/?icao=a63980&zoom=13.5&showTrace=2025-03-01&timestamp=1740849941,3532.0,adsb_icao,A1,1988.0,BEECH,C90A,DALE AVIATION INC,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 17:28:12,ac74f9,landing,KRAP,N901XJ,EDV4832,CRJ9,14,https://globe.adsbexchange.com/?icao=ac74f9&zoom=13.5&showTrace=2025-03-01&timestamp=1740850092,1622.0,adsb_icao,A3,2007.0,BOMBARDIER INC,CL-600-2D24,DELTA AIR LINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 17:37:03,a1ad44,takeoff,KRAP,N207NV,AAY1192,A320,14,https://globe.adsbexchange.com/?icao=a1ad44&zoom=13.5&showTrace=2025-03-01&timestamp=1740850623,3241.0,adsb_icao,A3,2013.0,AIRBUS,A320-214,ALLEGIANT AIR LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 17:38:40,acf146,takeoff,KRAP,N933EV,SKW5396,CRJ2,14,https://globe.adsbexchange.com/?icao=acf146&zoom=13.5&showTrace=2025-03-01&timestamp=1740850720,5102.0,adsb_icao,A2,2005.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2025-03-01 17:42:09,a56433,landing,KRAP,N44669,N44669,P28A,14,https://globe.adsbexchange.com/?icao=a56433&zoom=13.5&showTrace=2025-03-01&timestamp=1740850929,1200.0,adsb_icao,A1,1974.0,PIPER,PA-28-151,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
